2018-08-26 12:24:05,979 [main] INFO  org.apache.curator.framework.imps.CuratorFrameworkImpl (CuratorFrameworkImpl.java:235) - Starting
2018-08-26 12:24:05,994 [main] INFO  org.apache.zookeeper.Environment (Environment.java:100) - Client environment:zookeeper.version=3.4.8--1, built on 02/06/2016 03:18 GMT
2018-08-26 12:24:05,995 [main] INFO  org.apache.zookeeper.Environment (Environment.java:100) - Client environment:host.name=LFY
2018-08-26 12:24:05,995 [main] INFO  org.apache.zookeeper.Environment (Environment.java:100) - Client environment:java.version=1.8.0_112
2018-08-26 12:24:05,995 [main] INFO  org.apache.zookeeper.Environment (Environment.java:100) - Client environment:java.vendor=Oracle Corporation
2018-08-26 12:24:05,995 [main] INFO  org.apache.zookeeper.Environment (Environment.java:100) - Client environment:java.home=F:\javaEE\java\jdk1.8.0_1102.x64\jre
2018-08-26 12:24:05,996 [main] INFO  org.apache.zookeeper.Environment (Environment.java:100) - Client environment:java.class.path=..\conf;;..\lib\commons-logging-1.2.jar;..\lib\curator-client-2.12.0.jar;..\lib\curator-framework-2.12.0.jar;..\lib\dubbo-2.6.0.jar;..\lib\dubbo-monitor-simple-2.0.0.jar;..\lib\fastjson-1.2.31.jar;..\lib\guava-16.0.1.jar;..\lib\javassist-3.20.0-GA.jar;..\lib\javax.servlet-api-3.1.0.jar;..\lib\jcommon-1.0.16.jar;..\lib\jetty-6.1.26.jar;..\lib\jetty-util-6.1.26.jar;..\lib\jfreechart-1.0.13.jar;..\lib\jline-0.9.94.jar;..\lib\log4j-1.2.16.jar;..\lib\netty-3.2.5.Final.jar;..\lib\netty-3.7.0.Final.jar;..\lib\slf4j-api-1.7.25.jar;..\lib\slf4j-log4j12-1.7.25.jar;..\lib\spring-aop-4.3.10.RELEASE.jar;..\lib\spring-beans-4.3.10.RELEASE.jar;..\lib\spring-context-4.3.10.RELEASE.jar;..\lib\spring-core-4.3.10.RELEASE.jar;..\lib\spring-expression-4.3.10.RELEASE.jar;..\lib\spring-web-4.3.10.RELEASE.jar;..\lib\zookeeper-3.4.8.jar
2018-08-26 12:24:05,996 [main] INFO  org.apache.zookeeper.Environment (Environment.java:100) - Client environment:java.library.path=F:\javaEE\java\jdk1.8.0_1102.x64\bin;C:\WINDOWS\Sun\Java\bin;C:\WINDOWS\system32;C:\WINDOWS;D:\lfy\product\11.2.0\client_1;D:\lfy\oracle\product\11.2.0\dbhome_1\bin;F:\javaEE\java\jdk1.8.0_1102.x64\bin;c:\gtk\bin;D:\Program Files (x86)\360\360zip;C:\Program Files (x86)\Intel\iCLS Client\;C:\Program Files\Intel\iCLS Client\;C:\windows\system32;C:\windows;C:\windows\System32\Wbem;C:\windows\System32\WindowsPowerShell\v1.0\;C:\Program Files (x86)\Intel\Intel(R) Management Engine Components\DAL;C:\Program Files\Intel\Intel(R) Management Engine Components\DAL;C:\Program Files (x86)\Intel\Intel(R) Management Engine Components\IPT;C:\Program Files\Intel\Intel(R) Management Engine Components\IPT;C:\Program Files (x86)\NVIDIA Corporation\PhysX\Common;C:\Program Files\Intel\IntelSGXPSW\bin\x64\Release\;C:\Program Files\Intel\IntelSGXPSW\bin\win32\Release\;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0\;D:\Program Files\Git\cmd;D:\Program Files (x86)\Rational\common;c:\Program Files (x86)\QuickTime\QTSystem\;D:\Program Files\TortoiseSVN\bin;D:\devsoft\Subversion\bin;F:\javaEE\java\python35;F:\javaEE\¿ò¼Ü\apache-activemq-5.13.4\bin;D:\devsoft\gradle-3.5.1\bin;D:\Program Files\Cloud Foundry;D:\Program Files\SQLyog;C:\Program Files\Intel\WiFi\bin\;C:\Program Files\Common Files\Intel\WirelessCommon\;D:\Program Files\nodejs\;C:\Program Files\MySQL\MySQL Server 5.5\bin;D:\devsoft\apache-maven-3.3.9\bin;;C:\WINDOWS\System32\OpenSSH\;C:\Users\lfy\Desktop\Python\Scripts\;C:\Users\lfy\Desktop\Python\;C:\Program Files\Intel\WiFi\bin\;C:\Program Files\Common Files\Intel\WirelessCommon\;C:\Users\lfy\AppData\Local\Microsoft\WindowsApps;C:\Users\lfy\AppData\Roaming\npm;D:\Program Files\apache-tomcat-7.0.59\bin;;D:\Program Files\Fiddler;.
2018-08-26 12:24:05,996 [main] INFO  org.apache.zookeeper.Environment (Environment.java:100) - Client environment:java.io.tmpdir=C:\Users\lfy\AppData\Local\Temp\
2018-08-26 12:24:05,996 [main] INFO  org.apache.zookeeper.Environment (Environment.java:100) - Client environment:java.compiler=<NA>
2018-08-26 12:24:05,996 [main] INFO  org.apache.zookeeper.Environment (Environment.java:100) - Client environment:os.name=Windows 10
